"","log2fc.line.logcbc","pvalue.line.logcbc","qvalue.line.logcbc","log2fc.line.cbc","pvalue.line.cbc","qvalue.line.cbc"
"ENSSSCG00000005751",0.904592811978906,0.0114921051878498,0.0704604262568757,0.860178325621514,0.00655338035750597,0.0685730398434944
"ENSSSCG00000005753",0.144783570694551,0.131864145414162,0.220479270658083,0.279197173943059,0.0533948147739979,0.168141620790076
"ENSSSCG00000005759",0.158209768211941,0.0406468606149883,0.124645792724469,0.156263369561237,0.0331931704740862,0.136475058439625
"ENSSSCG00000005761",0.115823958169372,0.511007804939886,0.434684585532295,0.0379808518733748,0.834230116604957,0.56763770328437
"ENSSSCG00000005762",0.420436116171995,0.032293452342198,0.11312795174177,0.37527015185103,0.0379507115421983,0.143659576080791
"ENSSSCG00000005768",0.0551369802646271,0.377934826800717,0.376111289596112,0.064236875749787,0.29514187345126,0.360155229602438
"ENSSSCG00000005770",0.0474786354110875,0.892758518679822,0.567164235396593,0.0701913219422126,0.831372675321742,0.566573237244747
"ENSSSCG00000005771",0.0169385136625914,0.854443490948531,0.55674768046253,0.0812589832159053,0.381486077158846,0.403437842096447
"ENSSSCG00000005773",0.112642632296068,0.0871411299793319,0.178795057007973,0.125570973057615,0.050595479541847,0.163649137577106
"ENSSSCG00000005774",0.122777047055046,0.0976887987458952,0.189346865694443,0.111620724442871,0.128230776824551,0.246030720078567
"ENSSSCG00000005776",0.0758051238987798,0.676711911708741,0.497656439371044,0.0883453906237611,0.617573080130589,0.500229906382311
"ENSSSCG00000005777",0.0914270931124087,0.167555656498651,0.250223792677649,0.0838236831926843,0.156121396076264,0.267657126438335
"ENSSSCG00000005778",0.163590332141179,0.589682875677694,0.465658658391832,0.0960265694118809,0.748364234730196,0.542642084349627
"ENSSSCG00000005782",0.030365617924513,0.69535657093038,0.503541214073952,0.0471194104544061,0.519692551515695,0.46665588254453
"ENSSSCG00000005786",0.047369730932593,0.251569944485812,0.306823669002831,0.0364577814400462,0.349208518185366,0.388009464650407
"ENSSSCG00000005787",0.136530036521133,0.00492527265822096,0.0486667913385608,0.149567018760487,0.0138110593533827,0.0924543918004564
"ENSSSCG00000005826",0.146010266347402,0.215275905028241,0.284047302743145,0.173120729578312,0.137032282545052,0.2520178609619
"ENSSSCG00000005828",0.0398734933873952,0.735808778221607,0.518359716260008,0.0174329925513253,0.886236962333156,0.581037546243882
